Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Full Belly Deli-Mill Street,2,"cafe, restaurant, food, store, point_of_interest, establishment",3064 Mill Street 89502,89502,Reno,Nevada,United States
McDonald's,1,"cafe, store, restaurant, food, point_of_interest, establishment",2001 East Plumb Lane 89502,89502,Reno,Nevada,United States
McDonald's,1,"cafe, store, restaurant, point_of_interest, food, establishment",5000 South Virginia Street 89502,89502,Reno,Nevada,United States
Glory Cloud Coffee Roasters,,"cafe, food, store, point_of_interest, establishment",10 Greg Street 89431,89431,Sparks,Nevada,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",986 Ambassador Drive 89523,89523,Reno,Nevada,United States
The Human Bean,1,"cafe, restaurant, food, store, point_of_interest, establishment",3915 South McCarran Boulevard 89502,89502,Reno,Nevada,United States
Starbucks,2,"cafe, store, food, point_of_interest, establishment",6845 Sierra Center Parkway 89511,89511,Reno,Nevada,United States
Dutch Bros Coffee,1,"cafe, store, food, point_of_interest, establishment",7250 South Virginia Street 89511,89511,Reno,Nevada,United States
Dunkin',1,"cafe, bakery, meal_takeaway, restaurant, food, store, point_of_interest, establishment",435 Sparks Boulevard 89434,89434,Sparks,Nevada,United States
Keva Juice,1,"cafe, restaurant, food, store, point_of_interest, establishment",2838 Vista Boulevard 89434,89434,Sparks,Nevada,United States
Keva Juice,1,"cafe, store, restaurant, food, point_of_interest, establishment",748 South Meadows Parkway 89521,89521,Reno,Nevada,United States
Peet's Coffee & Tea,1,"cafe, store, point_of_interest, food, establishment",2100 Garson Road 89439,89439,Verdi,Nevada,United States
Starbucks,2,"cafe, restaurant, store, food, point_of_interest, establishment",2453 Wingfield Hills Road 89436,89436,Sparks,Nevada,United States
Outlaw Coffee Company,1,"cafe, store, food, point_of_interest, establishment",1155 Old highway 40 East 89439,89439,Verdi,Nevada,United States
McDonald's,1,"cafe, restaurant, point_of_interest, food, store, establishment",9725 Pyramid Way 89441,89441,Spanish Springs,Nevada,United States
Sierra Cafe,1,"cafe, food, point_of_interest, establishment",350 Winter Park Ct 89511,89511,Reno,Nevada,United States
The Roasting House,2,"cafe, point_of_interest, food, establishment",55 N C Street 89440,89440,Virginia City,Nevada,United States
Sushi Boba Pho Cafe Hong Kong Diner,2,"cafe, restaurant, food, point_of_interest, establishment",180 West Peckham Lane 89509,89509,Reno,Nevada,United States
Place,Price Range,Types,Address,Postal Code,City,State,Country
Mercury Cafe,2,"cafe, store, restaurant, food, point_of_interest, establishment",2199 California Street 80205,80205,Denver,Colorado,United States
Tattered Cover Book Store & Café Colfax,,"book_store, cafe, store, point_of_interest, food, establishment",2526 East Colfax Avenue 80206,80206,Denver,Colorado,United States
City O' City,2,"cafe, bakery, bar, restaurant, food, point_of_interest, store, establishment",206 East 13th Avenue 80203,80203,Denver,Colorado,United States
Green Tea HP (Colorado Mills Mall),,"shopping_mall, cafe, store, food, health, point_of_interest, establishment",14500 West Colfax Avenue 80401,80401,Lakewood,Colorado,United States
Dazbog Coffee,1,"cafe, food, point_of_interest, store, establishment",7801 East Orchard Road 80111,80111,Greenwood Village,Colorado,United States
Barnes & Noble,2,"book_store, cafe, food, point_of_interest, store, establishment",14347 West Colfax Avenue 80401,80401,Lakewood,Colorado,United States
Pablo's Coffee - 6th Avenue,1,"cafe, store, food, point_of_interest, establishment",630 East 6th Avenue 80203,80203,Denver,Colorado,United States
Lucile's Creole Café,2,"restaurant, cafe, bar, food, point_of_interest, store, establishment",275 South Logan Street 80209,80209,Denver,Colorado,United States
Stella's Coffee Haus,1,"cafe, store, food, point_of_interest, establishment",1476 South Pearl Street 80210,80210,Denver,Colorado,United States
Arapahoe Community College Bookstore & Espresso Yourself Café,,"book_store, convenience_store, cafe, food, point_of_interest, store, establishment",5900 South Santa Fe Drive 80120,80120,Littleton,Colorado,United States
Dazbog Coffee,1,"cafe, food, point_of_interest, store, establishment",1635 Aurora Court 80045,80045,Aurora,Colorado,United States
Barnes & Noble,2,"book_store, cafe, food, point_of_interest, store, establishment",170 South Abilene Street 80012,80012,Aurora,Colorado,United States
Green Tea HP (Park Meadows Mall),,"cafe, store, food, health, point_of_interest, establishment",8401 Park Meadows Center Drive 80124,80124,Lone Tree,Colorado,United States
D Bar Denver,2,"cafe, bakery, bar, store, restaurant, food, point_of_interest, establishment",494 East 19th Avenue 80203,80203,Denver,Colorado,United States
Barnes & Noble,2,"book_store, cafe, store, food, point_of_interest, establishment",701 East 120th Avenue 80233,80233,Thornton,Colorado,United States
Neptune Mountaineering,,"cafe, clothing_store, food, point_of_interest, store, establishment",633 South Broadway 80305,80305,Boulder,Colorado,United States
Crema Coffee House,1,"bakery, store, cafe, restaurant, food, point_of_interest, establishment",2862 Larimer Street 80205,80205,Denver,Colorado,United States
The Boulder Dushanbe Teahouse,2,"cafe, restaurant, point_of_interest, food, establishment",1770 13th Street 80302,80302,Boulder,Colorado,United States
St Mark's Coffee House,1,"cafe, food, point_of_interest, establishment",2019 East 17th Avenue 80206,80206,Denver,Colorado,United States
Starbucks,2,"cafe, restaurant, food, point_of_interest, store, establishment",8000 East Belleview Avenue 80111,80111,Greenwood Village,Colorado,United States
Panera Bread,2,"cafe, meal_takeaway, bakery, store, restaurant, point_of_interest, food, establishment",10435 Reed Street 80021,80021,Westminster,Colorado,United States
Wash Perk,1,"cafe, store, food, point_of_interest, establishment",853 East Ohio Avenue 80209,80209,Denver,Colorado,United States
The Delectable Egg,2,"cafe, restaurant, food, point_of_interest, store, establishment",1625 Court Place 80202,80202,Denver,Colorado,United States
The Bardo Coffee House,1,"cafe, store, restaurant, food, point_of_interest, establishment",238 South Broadway 80209,80209,Denver,Colorado,United States
"PARISI pizzeria, trattoria e vino",2,"grocery_or_supermarket, meal_takeaway, bar, store, cafe, restaurant, food, point_of_interest, establishment",4401 Tennyson Street 80212,80212,Denver,Colorado,United States
EDGE Restaurant & Bar,3,"cafe, night_club, bar, restaurant, food, point_of_interest, store, establishment",1111 14th Street 80202,80202,Denver,Colorado,United States
Barnes & Noble,2,"book_store, cafe, food, point_of_interest, store, establishment",6300 South Main Street 80016,80016,Aurora,Colorado,United States
Etai's Bakery Cafe,2,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",101 East 70th Avenue 80221,80221,Denver,Colorado,United States
Starbucks,2,"cafe, store, food, point_of_interest, establishment",17171 South Golden Road 80401,80401,Golden,Colorado,United States
Jerusalem Restaurant,1,"cafe, restaurant, food, point_of_interest, establishment",1890 East Evans Avenue 80210,80210,Denver,Colorado,United States
Hooked on Colfax,1,"cafe, food, point_of_interest, store, establishment",3213 East Colfax Avenue 80206,80206,Denver,Colorado,United States
Bleu Sage Catering & Cafe,1,"cafe, point_of_interest, food, establishment",1500 East 128th Avenue 80241,80241,Thornton,Colorado,United States
The Huckleberry,2,"restaurant, cafe, bakery, food, point_of_interest, store, establishment",700 Main Street 80027,80027,Louisville,Colorado,United States
Dazbog Coffee,1,"cafe, store, food, point_of_interest, establishment",9100 Pena Boulevard 80249,80249,Denver,Colorado,United States
Fluid Coffee Bar,1,"cafe, store, food, point_of_interest, establishment",501 East 19th Avenue 80203,80203,Denver,Colorado,United States
Starbucks,2,"store, cafe, restaurant, food, point_of_interest, establishment",9222 Park Meadows Drive 80124,80124,Lone Tree,Colorado,United States
Barnes & Noble,2,"book_store, cafe, store, food, point_of_interest, establishment",8136 West Bowles Avenue 80123,80123,Littleton,Colorado,United States
Panera Bread,2,"cafe, meal_takeaway, bakery, store, restaurant, point_of_interest, food, establishment",13100 East Colfax Avenue 80011,80011,Aurora,Colorado,United States
Cafe Terracotta,2,"restaurant, cafe, bar, food, point_of_interest, establishment",5649 South Curtice Street 80120,80120,Littleton,Colorado,United States
Einstein Bros. Bagels,1,"bakery, store, cafe, restaurant, food, point_of_interest, establishment",5545 Wadsworth Bypass 80002,80002,Arvada,Colorado,United States
Cake Crumbs Bakery & Cafe,2,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",2216 Kearney Street 80207,80207,Denver,Colorado,United States
Trattoria Stella,2,"cafe, store, restaurant, point_of_interest, food, establishment",3470 West 32nd Avenue 80211,80211,Denver,Colorado,United States
Kaladi Coffee Roasters,1,"cafe, food, point_of_interest, store, establishment",1730 East Evans Avenue 80210,80210,Denver,Colorado,United States
