Number,Id,Place,Price Range,Category,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
26,ChIJIxqpMOs-mYARI02wa7Xy1fE,adidas Outlet Store Sparks,,clothing_store,"shoe_store, clothing_store, point_of_interest, store, establishment","1420 Scheels Drive, Sparks, NV 89434, USA 89434",89434,Sparks,Nevada,United States,39.5323339,-119.7194898
27,ChIJt0n4u31AmYAR3ycWYWHrsbQ,Walgreens,2,clothing_store,"drugstore, convenience_store, clothing_store, health, food, store, point_of_interest, establishment","3495 S Virginia St, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4917092,-119.7977062
28,ChIJYbrN2ZBGmYARlnBnuBvgYG4,Walmart Supercenter,1,clothing_store,"department_store, electronics_store, hardware_store, grocery_or_supermarket, bakery, furniture_store, food, point_of_interest, clothing_store, home_goods_store, store, establishment","5260 W 7th St, Reno, NV 89523, USA 89523",89523,Reno,Nevada,United States,39.5356231,-119.8679452
29,ChIJDSlR8vw_mYAR5ICtyHSoC2E,Sierra,,clothing_store,"department_store, home_goods_store, clothing_store, point_of_interest, store, establishment","6139 S Virginia St, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.469257,-119.787312
30,ChIJHefXBOs-mYARYT-GUi8dUKU,Scheels,,clothing_store,"shoe_store, clothing_store, store, point_of_interest, establishment","1200 Scheels Drive, Sparks, NV 89434, USA 89434",89434,Sparks,Nevada,United States,39.5307381,-119.7216803
31,ChIJOzcj_vM_mYAR6K6YwTwRIxE,Macy's,2,clothing_store,"department_store, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment","5100 Meadowood Mall Cir, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.47550650000001,-119.7829917
32,ChIJTb3VLfI_mYARC8xCjsfWDzE,Zumiez,2,clothing_store,"clothing_store, shoe_store, point_of_interest, store, establishment","5000 Meadowood Mall Cir b108, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4742398,-119.7827821
33,ChIJGYQZoJU-mYAR2TwlndiQWUM,Target,2,clothing_store,"department_store, shoe_store, electronics_store, clothing_store, furniture_store, home_goods_store, store, point_of_interest, establishment","1550 E Lincoln Way, Sparks, NV 89434, USA 89434",89434,Sparks,Nevada,United States,39.5356879,-119.7174467
34,ChIJWSCgIVs3mYARMfoeVdgtI5E,Walgreens,2,clothing_store,"drugstore, convenience_store, clothing_store, health, food, point_of_interest, store, establishment","9705 Pyramid Way, Sparks, NV 89441, USA 89441",89441,Sparks,Nevada,United States,39.63913489999999,-119.7120548
35,ChIJU95Fuu1ImYARN54x3Mi2ALc,Walgreens,2,clothing_store,"drugstore, convenience_store, clothing_store, food, health, store, point_of_interest, establishment","305 Lemmon Dr, Reno, NV 89506, USA 89506",89506,Reno,Nevada,United States,39.6148628,-119.8493656
36,ChIJkeDzj-8UmYARBQBvDfwACR8,Walmart Supercenter,1,clothing_store,"department_store, hardware_store, grocery_or_supermarket, bakery, electronics_store, furniture_store, clothing_store, home_goods_store, food, point_of_interest, store, establishment","155 Damonte Ranch Pkwy, Reno, NV 89521, USA 89521",89521,Reno,Nevada,United States,39.4228288,-119.756719
37,ChIJ6xa7RY4UmYARJnFID6Tfmt4,Dillard's,3,clothing_store,"department_store, shoe_store, home_goods_store, clothing_store, point_of_interest, store, establishment","13933 S Virginia St, Reno, NV 89511, USA 89511",89511,Reno,Nevada,United States,39.4049742,-119.7527218
38,ChIJVVVVVSU-mYARI_TNqo1k-MY,Buckle,,clothing_store,"clothing_store, shoe_store, store, point_of_interest, establishment","5335 Meadowood Mall Cir Ste D110, Reno, NV 89502, USA 89502",89502,Reno,Nevada,United States,39.4734586,-119.7835587
39,ChIJ27CgzI4UmYARY18_Dk5SR4U,White House Black Market,,clothing_store,"shoe_store, jewelry_store, clothing_store, store, point_of_interest, establishment","13945 S Virginia St Suite 608, Reno, NV 89511, USA 89511",89511,Reno,Nevada,United States,39.4033466,-119.7521272
40,ChIJnQoTj-4KmYARIg6q8Ai6UHM,Walmart Supercenter,1,clothing_store,"department_store, hardware_store, grocery_or_supermarket, bakery, electronics_store, furniture_store, clothing_store, home_goods_store, food, point_of_interest, store, establishment","3200 Market St, Carson City, NV 89706, USA 89706",89706,Carson City,Nevada,United States,39.1870798,-119.7576237
41,ChIJ6zMe3oWAhYARaZ33Z1BAMRo,San Francisco Centre,,shopping_mall,"shopping_mall, point_of_interest, establishment","865 Market St, San Francisco, CA 94103, USA 94103",94103,San Francisco,California,United States,37.78428340000001,-122.40712
