Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
The Jackson Lodge,,"lodging, point_of_interest, establishment","850 CA-49, Jackson, CA 95642, USA",95642,Jackson,California,United States,38.3565254,-120.7805023
Indian Grinding Rock State Historic Park,,"tourist_attraction, park, point_of_interest, establishment","14881 Pine Grove Volcano Rd, Pine Grove, CA 95665, USA",95665,Pine Grove,California,United States,38.425104,-120.6408647
"Holiday Inn Express & Suites Jackson, an IHG Hotel",,"lodging, point_of_interest, establishment","101 Clinton Rd, Jackson, CA 95642, USA",95642,Jackson,California,United States,38.3417721,-120.7649838
Vista Grill At La Contenta,2,"restaurant, food, point_of_interest, establishment","1653 State Rte 26, Valley Springs, CA 95252, USA",95252,Valley Springs,California,United States,38.17022119999999,-120.8370924
Villa Toscano Winery,,"liquor_store, food, point_of_interest, store, establishment","10600 Shenandoah Rd, Plymouth, CA 95669, USA",95669,Plymouth,California,United States,38.5049505,-120.8243138
Shenandoah Inn,,"lodging, point_of_interest, establishment","17674 Village Dr, Plymouth, CA 95669, USA",95669,Plymouth,California,United States,38.46691689999999,-120.8536845
DesignSmith,,"general_contractor, point_of_interest, establishment","1480 Canyon Falls Rd, Placerville, CA 95667, USA",95667,Placerville,California,United States,38.661454,-120.795599
Black Chasm Cavern National Natural Landmark,,"tourist_attraction, point_of_interest, establishment","15701 Pioneer Volcano Rd, Volcano, CA 95689, USA",95689,Volcano,California,United States,38.434278,-120.626471
Pine Grove,,"locality, political","Pine Grove, CA, USA",,Pine Grove,California,United States,38.4133517,-120.6591314
Sacramento,,"locality, political","Sacramento, CA, USA",,Sacramento,California,United States,38.5815719,-121.4943996
Sacramento,,"locality, political","Sacramento, CA, USA",,Sacramento,California,United States,38.5815719,-121.4943996
Roseville,,"locality, political","Roseville, CA, USA",,Roseville,California,United States,38.7521235,-121.2880059
Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
Carson City,,"locality, political","Carson City, NV, USA",,Carson City,Nevada,United States,39.1637984,-119.7674034
Roseburg,,"locality, political","Roseburg, OR, USA",,Roseburg,Oregon,United States,43.216505,-123.3417381
Los Angeles,,"locality, political","Los Angeles, CA, USA",,Los Angeles,California,United States,34.0549076,-118.242643
Sparks,,"locality, political","Sparks, NV, USA",,Sparks,Nevada,United States,39.5349112,-119.7526886
Oshkosh,,"locality, political","Oshkosh, WI, USA",,Oshkosh,Wisconsin,United States,44.0247062,-88.5426136
