Place_id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
ChIJZ3MAFVhT2YARA6VEyoK26bc,The Keating Hotel San Diego,,"lodging, point_of_interest, establishment","432 F St, San Diego, CA 92101, USA",92101,San Diego,California,United States,32.71373700000001,-117.160327
ChIJo1SiW6hU2YARJYkDYqQSXpY,The Bristol Hotel - San Diego,,"lodging, point_of_interest, establishment","1055 1st Ave., San Diego, CA 92101, USA",92101,San Diego,California,United States,32.716366,-117.1636272
ChIJ01EBI_GCT4YREKrR1gNL1_s,Waco,,"locality, political","Waco, TX, USA",,Waco,Texas,United States,31.549333,-97.1466695
ChIJU0i0UGqBT4YRTGF33tpUlsA,Hampton Inn & Suites Waco-South,,"lodging, point_of_interest, establishment","2501 Marketplace Dr, Waco, TX 76711, USA",76711,Waco,Texas,United States,31.5000613,-97.1553818
ChIJtTmIq7CCT4YRCzRhofM1MAw,Hampton Inn Waco,,"lodging, point_of_interest, establishment","4259 I-35, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.6019928,-97.1089105
ChIJaeVBgKSGT4YRPeHWqVIKZbg,Best Western Plus Woodway Waco South Inn & Suites,,"lodging, point_of_interest, establishment","6808 Woodway Dr, Woodway, TX 76712, USA",76712,Woodway,Texas,United States,31.5084423,-97.194698
ChIJTcJSVd-AT4YRCAQwvSg1PH4,Fairfield Inn & Suites by Marriott Waco North,,"lodging, point_of_interest, establishment","4257 I 35 N Frontage Rd, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.6013351,-97.1093171
ChIJQZWjqlaCT4YRDur1elG3tTU,Courtyard by Marriott Waco,,"lodging, point_of_interest, establishment","101 Washington Ave, Waco, TX 76701, USA",76701,Waco,Texas,United States,31.56064649999999,-97.13016449999999
ChIJZ28Sf5ISAogRUGvRR-Ep0QA,"Homewood Suites by Hilton Waco, Texas",,"lodging, point_of_interest, establishment","5620 Legend Lake Pkwy, Waco, TX 76712, USA",76712,Waco,Texas,United States,31.4930435,-97.1602625
ChIJNRNx_LGCT4YRp2kqUQbFT4Q,"Holiday Inn & Suites Waco Northwest, an IHG Hotel",,"lodging, point_of_interest, establishment","1801 N Development Blvd, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.60610499999999,-97.10166699999999
ChIJYePuK8yAT4YRhDLmN9ApRMU,Ramada by Wyndham South Waco,,"lodging, point_of_interest, establishment","778 Sun Valley Blvd, Hewitt, TX 76643, USA",76643,Hewitt,Texas,United States,31.4588908,-97.17510539999999
ChIJhYnHIFGCT4YRge7TggoD79c,Hilton Waco,,"lodging, point_of_interest, establishment","113 S University Parks Dr, Waco, TX 76701, USA",76701,Waco,Texas,United States,31.5596759,-97.1284847
ChIJ01EBI_GCT4YREKrR1gNL1_s,Waco,,"locality, political","Waco, TX, USA",,Waco,Texas,United States,31.549333,-97.1466695
ChIJU0i0UGqBT4YRTGF33tpUlsA,Hampton Inn & Suites Waco-South,,"lodging, point_of_interest, establishment","2501 Marketplace Dr, Waco, TX 76711, USA",76711,Waco,Texas,United States,31.5000613,-97.1553818
ChIJtTmIq7CCT4YRCzRhofM1MAw,Hampton Inn Waco,,"lodging, point_of_interest, establishment","4259 I-35, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.6019928,-97.1089105
ChIJaeVBgKSGT4YRPeHWqVIKZbg,Best Western Plus Woodway Waco South Inn & Suites,,"lodging, point_of_interest, establishment","6808 Woodway Dr, Woodway, TX 76712, USA",76712,Woodway,Texas,United States,31.5084423,-97.194698
ChIJTcJSVd-AT4YRCAQwvSg1PH4,Fairfield Inn & Suites by Marriott Waco North,,"lodging, point_of_interest, establishment","4257 I 35 N Frontage Rd, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.6013351,-97.1093171
ChIJQZWjqlaCT4YRDur1elG3tTU,Courtyard by Marriott Waco,,"lodging, point_of_interest, establishment","101 Washington Ave, Waco, TX 76701, USA",76701,Waco,Texas,United States,31.56064649999999,-97.13016449999999
ChIJZ28Sf5ISAogRUGvRR-Ep0QA,"Homewood Suites by Hilton Waco, Texas",,"lodging, point_of_interest, establishment","5620 Legend Lake Pkwy, Waco, TX 76712, USA",76712,Waco,Texas,United States,31.4930435,-97.1602625
ChIJNRNx_LGCT4YRp2kqUQbFT4Q,"Holiday Inn & Suites Waco Northwest, an IHG Hotel",,"lodging, point_of_interest, establishment","1801 N Development Blvd, Waco, TX 76705, USA",76705,Waco,Texas,United States,31.60610499999999,-97.10166699999999
ChIJYePuK8yAT4YRhDLmN9ApRMU,Ramada by Wyndham South Waco,,"lodging, point_of_interest, establishment","778 Sun Valley Blvd, Hewitt, TX 76643, USA",76643,Hewitt,Texas,United States,31.4588908,-97.17510539999999
ChIJhYnHIFGCT4YRge7TggoD79c,Hilton Waco,,"lodging, point_of_interest, establishment","113 S University Parks Dr, Waco, TX 76701, USA",76701,Waco,Texas,United States,31.5596759,-97.1284847
